,individualcount,eventdate_datetime
604,6.0,2021-07-22 00:00:00+00:00
605,2.0,2021-05-11 00:00:00+00:00
606,2.0,2023-03-03 00:00:00+00:00
607,1.0,2021-09-03 00:00:00+00:00
608,10.0,2021-09-11 00:00:00+00:00
609,3.0,2021-09-10 00:00:00+00:00
610,1.0,2021-12-21 00:00:00+00:00
611,13.0,2021-12-15 00:00:00+00:00
612,1.0,2021-05-02 00:00:00+00:00
613,1.0,2021-11-09 00:00:00+00:00
614,7.0,2021-11-19 00:00:00+00:00
615,200.0,2021-11-11 00:00:00+00:00
616,25.0,2021-08-25 00:00:00+00:00
617,5.0,2021-04-17 00:00:00+00:00
618,8.0,2021-01-05 00:00:00+00:00
619,0.0,2021-01-10 00:00:00+00:00
620,1.0,2021-05-04 00:00:00+00:00
621,0.0,2021-09-25 00:00:00+00:00
622,14.0,2021-01-15 00:00:00+00:00
623,1.0,2021-04-24 00:00:00+00:00
624,12.0,2021-09-01 00:00:00+00:00
625,2.0,2021-12-04 00:00:00+00:00
626,6.0,2021-06-06 00:00:00+00:00
627,0.0,2021-04-24 10:24:00+00:00
628,2.0,2021-02-21 00:00:00+00:00
629,3.0,2021-05-13 00:00:00+00:00
630,6.0,2021-04-03 00:00:00+00:00
631,50.0,2021-11-09 00:00:00+00:00
632,3.0,2021-05-07 00:00:00+00:00
633,65.0,2021-03-22 00:00:00+00:00
634,7.0,2021-09-20 00:00:00+00:00
635,3.0,2021-05-27 00:00:00+00:00
636,1.0,2022-02-14 00:00:00+00:00
637,6.0,2021-03-12 00:00:00+00:00
638,25.0,2021-10-06 00:00:00+00:00
639,61.0,2021-01-03 00:00:00+00:00
640,10.0,2021-05-22 00:00:00+00:00
641,0.0,2021-04-22 12:04:00+00:00
642,0.0,2022-12-27 11:58:00+00:00
643,2.0,2021-05-26 00:00:00+00:00
644,11.0,2021-05-16 00:00:00+00:00
645,3.0,2021-11-05 00:00:00+00:00
646,0.0,2021-04-25 00:00:00+00:00
647,15.0,2021-05-07 00:00:00+00:00
648,2.0,2021-04-23 00:00:00+00:00
649,0.0,2023-01-20 12:36:00+00:00
650,2.0,2021-09-28 00:00:00+00:00
651,5.0,2021-10-03 00:00:00+00:00
652,70.0,2021-10-28 00:00:00+00:00
653,45.0,2021-09-09 00:00:00+00:00
654,2.0,2021-08-08 00:00:00+00:00
655,3.0,2021-05-23 00:00:00+00:00
656,2.0,2021-01-03 00:00:00+00:00
657,2.0,2021-04-01 00:00:00+00:00
658,1.0,2021-06-01 00:00:00+00:00
659,60.0,2021-12-04 00:00:00+00:00
660,5.0,2021-02-17 00:00:00+00:00
661,20.0,2021-08-19 00:00:00+00:00
662,11.0,2021-04-11 04:45:00+00:00
663,2.0,2021-05-22 00:00:00+00:00
664,2.0,2021-04-15 00:00:00+00:00
665,2.0,2021-09-01 00:00:00+00:00
666,20.0,2021-03-14 00:00:00+00:00
667,1.0,2021-04-06 00:00:00+00:00
668,0.0,2022-11-11 10:27:00+00:00
669,7.0,2021-06-03 00:00:00+00:00
670,70.0,2021-10-10 00:00:00+00:00
671,1.0,2021-04-14 00:00:00+00:00
672,1.0,2021-04-25 00:00:00+00:00
673,40.0,2021-01-04 00:00:00+00:00
674,8.0,2021-05-06 00:00:00+00:00
675,10.0,2021-12-03 00:00:00+00:00
676,21.0,2021-05-25 00:00:00+00:00
677,0.0,2022-12-04 12:02:27+00:00
678,27.0,2021-02-10 00:00:00+00:00
679,8.0,2021-10-03 00:00:00+00:00
680,14.0,2021-03-06 00:00:00+00:00
681,3.0,2021-10-20 00:00:00+00:00
682,3.0,2021-06-22 00:00:00+00:00
683,6.0,2021-05-12 00:00:00+00:00
684,12.0,2021-05-23 00:00:00+00:00
685,12.0,2021-12-22 00:00:00+00:00
686,2.0,2021-01-04 00:00:00+00:00
687,1.0,2022-01-01 00:00:00+00:00
688,40.0,2021-04-17 00:00:00+00:00
689,2.0,2021-05-30 00:00:00+00:00
690,0.0,2021-05-07 00:00:00+00:00
691,2.0,2021-05-19 00:00:00+00:00
692,80.0,2021-02-03 00:00:00+00:00
693,21.0,2021-10-14 00:00:00+00:00
694,70.0,2022-03-04 00:00:00+00:00
695,2.0,2021-06-12 00:00:00+00:00
696,2.0,2023-02-27 00:00:00+00:00
697,6.0,2021-06-06 00:00:00+00:00
698,5.0,2021-01-09 00:00:00+00:00
699,0.0,2023-02-06 16:22:04+00:00
700,8.0,2021-10-08 00:00:00+00:00
701,2.0,2021-04-27 00:00:00+00:00
702,0.0,2021-04-18 19:25:38+00:00
703,12.0,2021-10-20 00:00:00+00:00
704,2.0,2021-03-22 00:00:00+00:00
705,6.0,2021-01-11 00:00:00+00:00
706,32.0,2021-02-19 00:00:00+00:00
707,0.0,2022-08-15 10:22:00+00:00
708,14.0,2021-01-25 00:00:00+00:00
709,0.0,2021-06-21 00:00:00+00:00
710,6.0,2021-12-06 00:00:00+00:00
711,4.0,2023-01-05 00:00:00+00:00
712,64.0,2021-07-11 00:00:00+00:00
713,2.0,2021-09-25 00:00:00+00:00
714,1.0,2022-04-12 00:00:00+00:00
715,92.0,2021-12-12 00:00:00+00:00
716,5.0,2021-03-02 00:00:00+00:00
717,71.0,2021-07-01 00:00:00+00:00
718,5.0,2021-07-18 00:00:00+00:00
719,7.0,2021-01-14 00:00:00+00:00
720,11.0,2021-04-04 00:00:00+00:00
721,7.0,2021-03-21 00:00:00+00:00
722,8.0,2021-04-24 00:00:00+00:00
723,2.0,2021-06-06 00:00:00+00:00
724,22.0,2021-05-18 00:00:00+00:00
725,70.0,2021-10-17 00:00:00+00:00
726,0.0,2022-12-27 00:00:00+00:00
727,6.0,2021-02-13 00:00:00+00:00
728,26.0,2021-10-10 00:00:00+00:00
729,6.0,2021-10-25 00:00:00+00:00
730,4.0,2021-04-02 00:00:00+00:00
731,2.0,2021-03-30 00:00:00+00:00
732,18.0,2021-03-05 00:00:00+00:00
733,2.0,2021-04-25 00:00:00+00:00
734,32.0,2021-01-06 00:00:00+00:00
735,0.0,2021-03-23 00:00:00+00:00
736,4.0,2021-06-06 00:00:00+00:00
737,1.0,2022-09-03 00:00:00+00:00
738,6.0,2021-10-24 00:00:00+00:00
739,2.0,2021-03-27 00:00:00+00:00
740,4.0,2021-06-16 00:00:00+00:00
741,15.0,2021-05-09 00:00:00+00:00
742,30.0,2021-01-10 00:00:00+00:00
743,5.0,2021-06-06 00:00:00+00:00
744,5.0,2021-05-25 00:00:00+00:00
745,4.0,2021-03-31 00:00:00+00:00
746,3.0,2021-12-21 00:00:00+00:00
747,22.0,2021-04-06 00:00:00+00:00
748,10.0,2021-02-23 00:00:00+00:00
749,4.0,2021-05-11 00:00:00+00:00
750,5.0,2021-10-28 00:00:00+00:00
751,90.0,2021-10-17 00:00:00+00:00
752,0.0,2021-08-27 00:00:00+00:00
753,5.0,2021-10-26 00:00:00+00:00
754,26.0,2021-01-29 00:00:00+00:00
755,5.0,2021-11-20 00:00:00+00:00
756,3.0,2021-03-21 00:00:00+00:00
757,0.0,2021-05-11 00:00:00+00:00
758,35.0,2023-02-28 00:00:00+00:00
759,0.0,2021-02-02 15:59:00+00:00
760,8.0,2021-05-01 00:00:00+00:00
761,0.0,2021-05-01 08:39:00+00:00
762,1.0,2021-05-22 00:00:00+00:00
763,2.0,2021-07-04 00:00:00+00:00
764,6.0,2021-12-11 00:00:00+00:00
765,1.0,2021-03-24 00:00:00+00:00
766,2.0,2021-04-04 00:00:00+00:00
767,6.0,2021-12-10 00:00:00+00:00
768,8.0,2021-04-13 00:00:00+00:00
769,16.0,2021-09-28 00:00:00+00:00
770,6.0,2021-12-23 00:00:00+00:00
771,2.0,2021-01-23 00:00:00+00:00
772,51.0,2021-11-11 00:00:00+00:00
773,0.0,2021-12-19 00:00:00+00:00
774,15.0,2021-10-30 00:00:00+00:00
775,5.0,2021-04-20 00:00:00+00:00
776,0.0,2021-02-21 00:00:00+00:00
777,2.0,2021-03-27 00:00:00+00:00
778,0.0,2022-05-02 08:08:00+00:00
779,10.0,2021-08-10 00:00:00+00:00
780,8.0,2021-08-26 00:00:00+00:00
781,2.0,2021-05-14 00:00:00+00:00
782,0.0,2022-02-27 14:24:15+00:00
783,18.0,2021-03-07 00:00:00+00:00
784,10.0,2022-12-22 00:00:00+00:00
785,0.0,2021-12-10 00:00:00+00:00
786,1.0,2022-05-13 00:00:00+00:00
787,10.0,2021-02-21 00:00:00+00:00
788,12.0,2021-09-07 00:00:00+00:00
789,1.0,2021-05-06 00:00:00+00:00
790,12.0,2021-05-15 00:00:00+00:00
791,4.0,2021-08-26 00:00:00+00:00
792,43.0,2021-11-19 00:00:00+00:00
793,2.0,2021-05-16 00:00:00+00:00
794,126.0,2021-04-17 00:00:00+00:00
795,0.0,2023-01-15 12:44:00+00:00
796,19.0,2021-05-19 00:00:00+00:00
797,5.0,2021-03-20 00:00:00+00:00
798,4.0,2021-05-17 00:00:00+00:00
799,20.0,2021-02-06 00:00:00+00:00
800,12.0,2021-10-06 00:00:00+00:00
801,1.0,2021-06-13 00:00:00+00:00
802,55.0,2021-03-05 00:00:00+00:00
803,4.0,2021-03-22 00:00:00+00:00
804,40.0,2021-03-19 00:00:00+00:00
805,2.0,2021-05-03 00:00:00+00:00
806,1.0,2021-11-13 00:00:00+00:00
807,53.0,2021-02-20 00:00:00+00:00
808,2.0,2021-08-24 00:00:00+00:00
809,2.0,2021-03-23 00:00:00+00:00
810,1.0,2021-05-11 00:00:00+00:00
811,30.0,2021-05-06 00:00:00+00:00
812,0.0,2022-04-09 17:04:00+00:00
813,15.0,2021-04-27 00:00:00+00:00
814,12.0,2021-11-08 00:00:00+00:00
815,0.0,2021-02-27 00:00:00+00:00
816,13.0,2021-12-19 00:00:00+00:00
817,22.0,2021-05-10 00:00:00+00:00
818,16.0,2021-03-25 00:00:00+00:00
819,10.0,2021-04-05 00:00:00+00:00
820,2.0,2021-04-24 00:00:00+00:00
821,4.0,2021-01-17 00:00:00+00:00
822,41.0,2021-01-30 00:00:00+00:00
823,7.0,2021-12-23 00:00:00+00:00
824,19.0,2021-06-16 00:00:00+00:00
825,50.0,2021-03-18 00:00:00+00:00
826,5.0,2021-05-01 00:00:00+00:00
827,1.0,2021-09-18 00:00:00+00:00
828,6.0,2021-04-19 00:00:00+00:00
829,3.0,2021-01-23 00:00:00+00:00
830,9.0,2021-02-21 00:00:00+00:00
831,2.0,2022-04-15 00:00:00+00:00
832,36.0,2021-01-04 00:00:00+00:00
833,16.0,2021-02-01 00:00:00+00:00
834,11.0,2021-03-21 00:00:00+00:00
835,25.0,2021-02-28 00:00:00+00:00
836,8.0,2021-12-08 00:00:00+00:00
837,24.0,2021-10-26 00:00:00+00:00
838,0.0,2021-06-22 00:00:00+00:00
839,2.0,2022-03-16 00:00:00+00:00
840,10.0,2021-09-15 00:00:00+00:00
841,2.0,2021-05-13 00:00:00+00:00
842,36.0,2021-09-03 00:00:00+00:00
843,70.0,2021-10-12 00:00:00+00:00
844,1.0,2021-10-11 00:00:00+00:00
845,1.0,2021-04-24 00:00:00+00:00
846,30.0,2022-08-03 00:00:00+00:00
847,4.0,2022-04-24 00:00:00+00:00
848,4.0,2021-05-10 00:00:00+00:00
849,12.0,2021-04-17 00:00:00+00:00
850,125.0,2021-07-29 00:00:00+00:00
851,5.0,2021-05-01 00:00:00+00:00
852,6.0,2021-09-06 00:00:00+00:00
853,30.0,2021-05-15 00:00:00+00:00
854,6.0,2021-01-18 00:00:00+00:00
855,20.0,2021-09-06 00:00:00+00:00
856,25.0,2021-12-05 00:00:00+00:00
857,5.0,2021-07-23 00:00:00+00:00
858,60.0,2021-10-17 00:00:00+00:00
859,2.0,2021-09-05 00:00:00+00:00
860,2.0,2021-12-31 00:00:00+00:00
861,5.0,2021-06-11 00:00:00+00:00
862,4.0,2021-12-25 00:00:00+00:00
863,11.0,2021-10-16 00:00:00+00:00
864,100.0,2021-03-28 00:00:00+00:00
865,45.0,2021-10-03 00:00:00+00:00
866,3.0,2021-10-17 00:00:00+00:00
867,22.0,2021-03-30 00:00:00+00:00
868,2.0,2021-05-26 00:00:00+00:00
869,7.0,2021-08-07 00:00:00+00:00
870,3.0,2021-10-10 00:00:00+00:00
871,4.0,2021-12-03 00:00:00+00:00
872,6.0,2021-03-29 00:00:00+00:00
873,6.0,2021-11-08 00:00:00+00:00
874,5.0,2021-08-19 00:00:00+00:00
875,12.0,2021-03-10 00:00:00+00:00
876,2.0,2021-04-18 00:00:00+00:00
877,2.0,2021-06-05 00:00:00+00:00
878,2.0,2021-12-12 00:00:00+00:00
879,8.0,2021-07-31 00:00:00+00:00
880,3.0,2021-05-25 00:00:00+00:00
881,3.0,2021-09-06 00:00:00+00:00
882,1.0,2021-07-27 00:00:00+00:00
883,2.0,2021-04-13 00:00:00+00:00
884,4.0,2021-04-10 00:00:00+00:00
885,56.0,2021-04-05 00:00:00+00:00
886,2.0,2021-04-03 00:00:00+00:00
887,6.0,2021-09-22 00:00:00+00:00
888,20.0,2021-08-17 00:00:00+00:00
889,2.0,2021-05-22 00:00:00+00:00
890,3.0,2021-04-17 00:00:00+00:00
891,3.0,2021-06-25 00:00:00+00:00
892,4.0,2021-10-09 00:00:00+00:00
893,4.0,2021-06-18 00:00:00+00:00
894,10.0,2021-01-17 00:00:00+00:00
895,25.0,2021-09-04 00:00:00+00:00
896,25.0,2021-11-05 00:00:00+00:00
897,2.0,2022-01-06 00:00:00+00:00
898,2.0,2021-04-20 00:00:00+00:00
899,2.0,2021-03-23 00:00:00+00:00
900,1.0,2022-06-04 00:00:00+00:00
901,2.0,2021-09-05 00:00:00+00:00
902,0.0,2021-07-01 00:00:00+00:00
903,0.0,2021-04-09 00:00:00+00:00
904,12.0,2021-04-16 00:00:00+00:00
905,1.0,2021-04-28 00:00:00+00:00
906,155.0,2021-11-17 00:00:00+00:00
907,0.0,2021-10-01 00:00:00+00:00
908,8.0,2021-03-05 00:00:00+00:00
909,40.0,2021-11-22 00:00:00+00:00
910,4.0,2021-05-09 00:00:00+00:00
911,51.0,2021-01-09 00:00:00+00:00
912,4.0,2021-09-12 00:00:00+00:00
913,8.0,2021-03-23 00:00:00+00:00
914,2.0,2021-04-08 00:00:00+00:00
915,10.0,2021-03-21 00:00:00+00:00
916,10.0,2022-06-02 00:00:00+00:00
917,4.0,2022-05-28 00:00:00+00:00
918,1.0,2021-04-16 00:00:00+00:00
919,2.0,2021-11-20 00:00:00+00:00
920,2.0,2021-04-02 00:00:00+00:00
921,50.0,2022-11-06 00:00:00+00:00
922,2.0,2021-05-17 00:00:00+00:00
923,35.0,2021-02-27 00:00:00+00:00
924,1.0,2021-04-25 00:00:00+00:00
925,3.0,2022-08-06 00:00:00+00:00
926,6.0,2021-04-24 00:00:00+00:00
927,19.0,2021-12-22 00:00:00+00:00
928,500.0,2021-01-18 00:00:00+00:00
929,0.0,2023-01-17 14:49:44+00:00
930,2.0,2021-02-22 00:00:00+00:00
931,5.0,2021-09-05 00:00:00+00:00
932,0.0,2022-03-13 22:17:22+00:00
933,1.0,2021-10-15 00:00:00+00:00
934,0.0,2023-01-03 13:03:47+00:00
935,1.0,2021-04-08 00:00:00+00:00
936,100.0,2021-10-30 00:00:00+00:00
937,16.0,2021-12-12 00:00:00+00:00
938,10.0,2021-11-05 00:00:00+00:00
939,2.0,2021-03-06 00:00:00+00:00
940,0.0,2021-08-16 17:20:00+00:00
941,7.0,2021-05-19 00:00:00+00:00
942,20.0,2021-10-28 00:00:00+00:00
943,30.0,2021-06-06 00:00:00+00:00
944,9.0,2021-05-08 00:00:00+00:00
945,4.0,2021-07-29 00:00:00+00:00
946,1.0,2022-08-09 00:00:00+00:00
947,20.0,2021-04-09 00:00:00+00:00
948,100.0,2021-10-02 00:00:00+00:00
949,1.0,2021-10-10 00:00:00+00:00
950,11.0,2021-02-17 00:00:00+00:00
951,4.0,2021-04-04 00:00:00+00:00
952,5.0,2023-01-09 00:00:00+00:00
953,1.0,2021-04-27 00:00:00+00:00
954,6.0,2021-11-08 00:00:00+00:00
955,3.0,2021-06-09 00:00:00+00:00
956,2.0,2021-05-30 00:00:00+00:00
957,4.0,2021-09-12 00:00:00+00:00
958,5.0,2021-05-03 00:00:00+00:00
959,1.0,2021-05-18 00:00:00+00:00
960,4.0,2022-04-02 00:00:00+00:00
961,5.0,2021-03-28 00:00:00+00:00
962,30.0,2021-01-03 00:00:00+00:00
963,60.0,2021-02-27 00:00:00+00:00
964,8.0,2021-05-22 00:00:00+00:00
965,0.0,2022-01-01 11:23:00+00:00
966,20.0,2021-03-13 00:00:00+00:00
967,1.0,2021-05-28 00:00:00+00:00
968,2.0,2021-03-14 00:00:00+00:00
969,2.0,2021-06-14 00:00:00+00:00
970,5.0,2021-03-05 00:00:00+00:00
971,8.0,2021-06-13 00:00:00+00:00
972,2.0,2021-04-26 00:00:00+00:00
973,4.0,2021-04-04 00:00:00+00:00
974,3.0,2021-05-12 00:00:00+00:00
975,2.0,2021-05-29 00:00:00+00:00
976,2.0,2021-04-24 00:00:00+00:00
977,40.0,2021-12-04 00:00:00+00:00
978,187.0,2021-11-02 00:00:00+00:00
979,4.0,2021-10-16 00:00:00+00:00
980,4.0,2022-01-24 00:00:00+00:00
981,2.0,2021-05-08 00:00:00+00:00
982,17.0,2021-03-30 00:00:00+00:00
983,8.0,2021-02-25 00:00:00+00:00
984,50.0,2021-07-24 00:00:00+00:00
985,6.0,2022-07-25 00:00:00+00:00
986,36.0,2021-06-23 00:00:00+00:00
987,100.0,2021-08-23 00:00:00+00:00
988,1.0,2021-03-15 00:00:00+00:00
989,0.0,2021-11-19 00:00:00+00:00
990,38.0,2021-01-19 00:00:00+00:00
991,1.0,2021-04-23 00:00:00+00:00
992,4.0,2021-04-17 00:00:00+00:00
993,6.0,2021-12-02 00:00:00+00:00
994,1.0,2021-10-23 00:00:00+00:00
995,1.0,2022-01-07 00:00:00+00:00
996,0.0,2021-11-25 00:00:00+00:00
997,15.0,2021-10-21 00:00:00+00:00
998,6.0,2021-04-17 00:00:00+00:00
999,2.0,2022-01-05 00:00:00+00:00
