,individualcount,eventdate_datetime
138,2.0,2021-10-15 00:00:00+00:00
139,55.0,2021-01-15 00:00:00+00:00
140,0.0,2021-01-02 11:30:41+00:00
141,15.0,2021-09-24 00:00:00+00:00
142,1.0,2021-01-10 00:00:00+00:00
143,65.0,2021-09-04 00:00:00+00:00
144,27.0,2021-11-24 00:00:00+00:00
145,4.0,2021-11-22 00:00:00+00:00
146,3.0,2021-10-12 00:00:00+00:00
147,3.0,2021-05-21 00:00:00+00:00
148,2.0,2023-02-12 00:00:00+00:00
149,1.0,2021-04-05 00:00:00+00:00
150,305.0,2022-10-11 00:00:00+00:00
151,17.0,2021-02-14 00:00:00+00:00
152,8.0,2021-12-17 00:00:00+00:00
153,9.0,2021-09-06 00:00:00+00:00
154,8.0,2021-07-15 00:00:00+00:00
155,0.0,2023-03-05 07:23:00+00:00
156,25.0,2021-09-17 00:00:00+00:00
157,4.0,2021-11-06 00:00:00+00:00
158,2.0,2021-05-19 00:00:00+00:00
159,6.0,2021-04-10 00:00:00+00:00
160,14.0,2021-10-06 00:00:00+00:00
161,18.0,2021-09-01 00:00:00+00:00
162,11.0,2021-11-12 00:00:00+00:00
163,2.0,2021-04-16 00:00:00+00:00
164,2.0,2021-03-27 00:00:00+00:00
165,2.0,2021-03-30 00:00:00+00:00
166,2.0,2021-04-03 00:00:00+00:00
167,6.0,2021-08-06 00:00:00+00:00
168,96.0,2021-02-01 00:00:00+00:00
169,2.0,2021-04-19 00:00:00+00:00
170,2.0,2021-05-31 00:00:00+00:00
171,25.0,2022-05-19 00:00:00+00:00
172,12.0,2021-02-05 00:00:00+00:00
173,4.0,2021-05-07 00:00:00+00:00
174,2.0,2021-03-29 00:00:00+00:00
175,12.0,2021-04-26 00:00:00+00:00
176,22.0,2023-03-05 00:00:00+00:00
177,59.0,2021-09-01 00:00:00+00:00
178,120.0,2021-11-18 00:00:00+00:00
179,9.0,2021-07-28 00:00:00+00:00
180,1.0,2021-09-06 00:00:00+00:00
181,4.0,2021-07-14 00:00:00+00:00
182,150.0,2021-11-07 00:00:00+00:00
183,36.0,2021-04-30 00:00:00+00:00
184,2.0,2021-06-09 00:00:00+00:00
185,10.0,2021-10-24 00:00:00+00:00
186,2.0,2021-02-26 00:00:00+00:00
187,0.0,2021-01-13 00:00:00+00:00
188,2.0,2021-05-11 00:00:00+00:00
189,14.0,2021-04-02 00:00:00+00:00
190,30.0,2021-03-29 00:00:00+00:00
191,20.0,2021-11-27 00:00:00+00:00
192,0.0,2021-10-15 18:57:04+00:00
