,basisofrecord,class,countrycode,day,decimallatitude,decimallongitude,eventdate,family,gbifid,genus,individualcount,issue,kingdom,month,occurrencestatus,order,phylum,species,year
3637240,HUMAN_OBSERVATION,Aves,CA,20.0,45.601593,-73.82129,2021-05-20 00:00:00 UTC,Anatidae,3625646836,Anas,5.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,5.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
675631,HUMAN_OBSERVATION,Aves,ES,2.0,41.281662,2.06485,2021-04-02 00:00:00 UTC,Anatidae,3673188329,Anas,36.0,COORDINATE_ROUNDED,Animalia,4.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
7158955,HUMAN_OBSERVATION,Aves,US,4.0,46.6108,-112.0749,2021-05-04 00:00:00 UTC,Anatidae,3606251834,Anas,1.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,5.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
4276773,HUMAN_OBSERVATION,Aves,CA,31.0,43.2658,-79.781044,2021-12-31 00:00:00 UTC,Anatidae,3666090138,Anas,62.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,12.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
7759929,HUMAN_OBSERVATION,Aves,DK,19.0,55.49352,11.71121,2021-03-19 00:00:00 UTC,Anatidae,3114346510,Anas,2.0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,Animalia,3.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
335670,HUMAN_OBSERVATION,Aves,CA,4.0,46.826057,-71.17157,2021-08-04 00:00:00 UTC,Anatidae,3540331553,Anas,11.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,8.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
6696997,HUMAN_OBSERVATION,Aves,AE,14.0,24.264326,54.59607,2021-10-14 00:00:00 UTC,Anatidae,3691981097,Anas,3.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,10.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
7450086,HUMAN_OBSERVATION,Aves,NO,18.0,63.338765,10.822193,2021-05-18 00:00:00 UTC,Anatidae,3303329476,Anas,1.0,COORDINATE_ROUNDED,Animalia,5.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
2321259,HUMAN_OBSERVATION,Aves,US,27.0,42.11608,-87.771034,2021-04-27 00:00:00 UTC,Anatidae,3635023768,Anas,1.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,4.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
6119188,HUMAN_OBSERVATION,Aves,NZ,24.0,-43.556908,172.4269,2021-06-24 00:00:00 UTC,Anatidae,3540672166,Anas,22.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,6.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
